number,gender,month,day,year,textbooks,cigaretts,HSGPA,Height,mheight,shoe,breakfast,flight,play,vote,TV,exercise,veg,credit,car,caryear,miles,class
97,f,4,3,89,350,0,4,66,72,8,y,y,y,y,5,3,n,15,y,2005,50000,Junior
98,f,11,26,89,500,2,3.25,65,73,6.5,y,n,n,y,0,3.5,n,16,y,,25000,Junior
99,f,6,24,88,150,0,3.7,67,73,9.5,y,n,n,y,6,5,n,17,y,2004,117000,Senior
100,m,5,15,88,200,0,4,77,65,14,y,n,n,y,5,2,n,13,y,2000,120000,Junior
101,f,4,27,89,400,0,3.7,67,72,9,y,y,n,y,4,6,n,17,n,,,Sophomore
102,f,5,31,90,100,0,4,68,73,9,y,n,y,y,10,2,n,12,y,2004,25000,Sophomore
103,f,5,29,88,250,0,3.8,67,74,10,y,n,y,y,10,6,n,15,y,1999,180000,Freshman
104,f,5,24,89,600,0,3.2,67,72,7,y,n,y,y,2,4,n,17,y,2007,34002,Sophomore
105,m,10,1,89,400,0,3.05,70.5,65,11.5,y,n,n,y,7,7,n,16,y,2007,30000,Junior
106,m,9,18,88,447,0,3.5,74,67,11,n,n,n,y,10,5,n,15,y,1998,150000,Junior
107,m,9,23,89,300,0,3.2,74,68,12,n,n,n,y,6,4,n,16,y,1997,130650,Sophomore
108,m,6,19,89,350,0,3.6,71,66,11,n,n,n,n,15,3,n,12,y,2007,22000,Sophomore
109,m,8,27,90,350,0,3.75,,62,9,y,n,n,y,10,8,n,15,y,1999,145000,Sophomore
110,f,4,11,89,400,0,4,67,69,9,y,n,n,y,25,2,n,16,y,2001,89000,Senior
111,f,12,6,89,200,0,3.9,70,76,8,y,n,y,y,2,15,y,15,y,1999,140000,Sophomore
112,f,9,25,89,430,0,3.4,66,72,7,y,n,n,y,10,3,n,16,y,2000,65000,Junior
113,f,12,26,88,669,0,3.2,66,74,10,n,y,y,n,6,6,n,16,n,,,Sophomore
114,f,10,12,90,300,0,3.5,61,79,8,y,n,n,y,10,6,n,15,y,2007,33000,Sophomore
115,f,1,18,88,250,0,3.7,62,71,6.5,y,n,n,y,10,6,n,13,y,2001,52000,Senior
116,f,5,29,90,500,0,3.7,64,72,8,y,n,n,y,0,3,n,17,y,2000,200000,Sophomore
117,m,3,5,88,500,0,3.4,75,66,13,y,n,n,y,3,3,n,21,y,1999,130000,Senior
118,f,3,24,89,450,0,3.9,62,66,7.5,y,y,y,y,5,0,n,17,y,1994,,Junior
119,f,12,20,89,530,0,3.9,66,73,8,y,n,n,n,5,3,n,17,y,2003,89000,Sophomore
120,m,9,25,89,660,0,2.4,74,69,12,n,y,y,y,0,6,n,15,y,2004,140000,Sophomore
121,f,8,8,89,300,0,3.8,62,70,7.5,y,n,y,y,3,2,n,16,y,1999,141000,Sophomore
